docid,date,hottness
259594,2009-05-08 18:30:00+00:00,948.04
259608,2009-12-29 18:30:00+00:00,1399.7171213
259625,2009-12-17 18:30:00+00:00,1376.50103
259691,2009-12-28 18:30:00+00:00,1397.7971213
259725,2007-12-02 18:30:00+00:00,-55.6428787
259768,2009-11-07 18:30:00+00:00,1299.8771213
259860,2009-12-30 18:30:00+00:00,1401.6371213
259916,2009-12-30 18:30:00+00:00,1401.6371213
259933,2009-12-18 18:30:00+00:00,1378.5971213
259949,2008-11-13 18:30:00+00:00,610.12
259999,2009-09-25 18:30:00+00:00,1216.84
260057,2009-03-06 18:30:00+00:00,827.5571213
260334,2008-12-15 18:30:00+00:00,672.0371213
260463,2005-08-23 18:30:00+00:00,-1651.1628787
260545,2009-11-30 18:30:00+00:00,1343.86103
260630,2009-12-14 18:30:00+00:00,1370.9171213
260643,2009-03-07 18:30:00+00:00,829.7781513
260687,2009-12-14 18:30:00+00:00,1370.9171213
260701,2009-12-20 18:30:00+00:00,1381.96
260710,2008-06-16 18:30:00+00:00,322.5971213
260711,2009-12-15 18:30:00+00:00,1372.8371213
260718,2009-12-15 18:30:00+00:00,1372.66103
260780,2009-08-26 18:30:00+00:00,1159.7171213
260844,2009-12-30 18:30:00+00:00,1401.6371213
260870,2009-12-30 18:30:00+00:00,1401.6371213
260886,2009-02-04 18:30:00+00:00,769.78103
